Model,MAE,MSE,R2 Score
Linear Regression,82657.946058922,10549721686.159279,0.9146454505138069
Ridge Regression,82659.67244409776,10549745186.670172,0.91464526037841
Lasso Regression,82657.9466217223,10549717660.356375,0.9146454830853386
ElasticNet Regression,99126.80843102589,15081376466.55959,0.8779812271613102
SGDRegressor,1.2075423656090379e+17,2.282092221811244e+34,-1.8463705420228775e+23
Huber Regressor,199465.55955429235,61664910393.24919,0.5010881990728202
Random Forest Regressor,97925.04793429359,15061265102.286446,0.8781439420165599
Support Vector Regressor,282947.68758691323,123546565157.52672,0.0004227861838135283
Polynomial Regression,83413.364188479,10664698582.517117,0.9137152078513091
ANN,199284.93311246735,61556820056.54553,0.5019627247018001
KNN,198086.23684543537,60395811313.31432,0.5113560889227768
LGBM,92133.9888284538,13097708114.507051,0.8940304769478327
XGBoost,101565.19208841266,16138680641.877495,0.8694269046645823
